file,records,columns
belt_design_parameters.csv,50,10
belt_validation_cases.csv,36,4
clinical_trial_results.csv,200,19
compression_garment_tests.csv,80,20
fea_parametric_results.csv,200,16
fea_simulation_results.csv,200,11
fea_validation_cases.csv,12,5
huggingface_medical_advice.csv,100,3
hyperelastic_material_params.csv,20,11
maternal_health_risk.csv,1014,7
maternity_belt_clinical_studies.csv,8,10
physionet_maternal_ultrasound.csv,150,20
pregnancy_skin_biomechanics.csv,100,18
pregnancy_striae_studies.csv,10,9
skin_biomechanics_literature.csv,15,9
skin_mechanics_database.csv,50,21
textile_mechanical_properties.csv,10,9
